local_year_month,organization,Unnamed: 0,id,region,local,lat,long,date,chla,tss,secchi,acdom440,B1,B2,B3,B4,green_blue,green_red,station_id,organization.1,predicted
Curape_2019_08,LabISA-INPE,38,61,AMZ,Curape,-4.712,-66.78,2019-08-18,,,0.48,,0.0254106561686953,0.0428457594401873,0.0475558974861899,0.0178788635765985,1.6861335321584967,0.9009557532297564,Curape_08_2019_Ponto_02,LabISA-INPE,0.25291663
Curape_2019_08,LabISA-INPE,39,61,AMZ,Curape,-4.715,-66.76,2019-08-18,,,0.69,,0.0239138244919945,0.0388952300893262,0.041965955085865,0.0153935493654333,1.6264746821382312,0.9268281875092346,Curape_08_2019_Ponto_03,LabISA-INPE,0.24928246
Curuai_2016_03,LabISA-INPE,70,14,AMZ,Curuai,-2.11651,-55.4125,2016-03-15,35.885,39.75,0.28,1.03951,0.0246311696286977,0.0405550279179941,0.0450216394901925,0.0175025273273817,1.6464921694479162,0.9007896730821764,Curuai_03_2016_Ponto_01,LabISA-INPE,0.24442968
Curuai_2016_03,LabISA-INPE,71,14,AMZ,Curuai,-2.11405,-55.4461,2016-03-15,34.44,51.0,0.28,0.931135,0.0198957763122284,0.0325307657928816,0.0366062294023629,0.0143871846743363,1.6350588829694193,0.8886674843047825,Curuai_03_2016_Ponto_02,LabISA-INPE,0.31235582
Curuai_2016_03,LabISA-INPE,72,14,AMZ,Curuai,-2.25617,-55.53,2016-03-14,34.785,48.665,0.18,0.88101,0.0259007211135647,0.038297845389101,0.0428441668347539,0.0231296159581967,1.4786401205271342,0.8938870380374613,Curuai_03_2016_Ponto_03,LabISA-INPE,0.14852662
Curuai_2016_03,LabISA-INPE,73,14,AMZ,Curuai,-2.15449,-55.5734,2016-03-15,24.335,35.25,0.26,0.988032,0.0199254202391376,0.0316636586954607,0.034796783620693,0.0129061224299267,1.5891087021224677,0.9099593525831194,Curuai_03_2016_Ponto_04,LabISA-INPE,0.3015175
Curuai_2016_03,LabISA-INPE,74,14,AMZ,Curuai,-2.25617,-55.53,2016-03-14,42.32,37.0,0.28,1.01242,0.0185566118979823,0.0287956576705801,0.0314058277950609,0.0125282789479232,1.5517734502876095,0.9168889881994674,Curuai_03_2016_Ponto_05,LabISA-INPE,0.24943233
Curuai_2016_03,LabISA-INPE,75,14,AMZ,Curuai,-2.25617,-55.53,2016-03-14,35.235,73.665,0.18,0.727477,0.0256587928672549,0.037598620002761,0.0427267921571042,0.025475787522377,1.4653308204043929,0.8799775996408254,Curuai_03_2016_Ponto_06,LabISA-INPE,0.10024771
Curuai_2016_03,LabISA-INPE,76,14,AMZ,Curuai,-2.25617,-55.53,2016-03-14,24.045,60.0,0.19,0.871979,0.0258390222762187,0.0386073107281357,0.0435672065308671,0.023092596832926,1.4941475074182071,0.8861552943676263,Curuai_03_2016_Ponto_07,LabISA-INPE,0.13677096
Curuai_2016_03,LabISA-INPE,77,14,AMZ,Curuai,-2.12949,-55.5436,2016-03-15,15.695,29.0,0.28,0.849852,0.0191928501686209,0.0303220114123648,0.0327538624030695,0.0108657258620203,1.5798597470395188,0.9257537642193672,Curuai_03_2016_Ponto_08,LabISA-INPE,0.31303877
Curuai_2016_03,LabISA-INPE,78,14,AMZ,Curuai,-2.25617,-55.53,2016-03-13,18.385,20.5,0.4,1.2391,0.0216244193492054,0.0331849015882214,0.0336487855305238,0.0140433190494691,1.5346031286357196,0.986213946952659,Curuai_03_2016_Ponto_09,LabISA-INPE,0.25241184
Curuai_2016_03,LabISA-INPE,79,14,AMZ,Curuai,-2.25617,-55.53,2016-03-13,18.225,24.25,0.33,1.01874,0.0211875301295607,0.0320829265772568,0.0338083034948834,0.0135025864627594,1.5142362692145472,0.9489658829557148,Curuai_03_2016_Ponto_10,LabISA-INPE,0.24680242
Curuai_2016_03,LabISA-INPE,80,14,AMZ,Curuai,-2.25617,-55.53,2016-03-13,19.815,79.5,0.17,1.20456,0.0238658037579162,0.03851101047602,0.0441346898988044,0.0228380725908565,1.613648166500407,0.8725791563126687,Curuai_03_2016_Ponto_11,LabISA-INPE,0.21312784
Curuai_2016_03,LabISA-INPE,81,14,AMZ,Curuai,-2.25515,-55.3005,2016-03-16,9.315,92.5,0.17,1.02235,0.031170992122329,0.049423806809892,0.0577548733334383,0.0295806295171491,1.5855705399408124,0.8557512804945783,Curuai_03_2016_Ponto_12,LabISA-INPE,0.17712925
Curuai_2016_03,LabISA-INPE,82,14,AMZ,Curuai,-2.25617,-55.53,2016-03-13,15.535,88.75,0.15,1.08444,0.0255434525618564,0.0403348812352019,0.0465272720288,0.0248367667385531,1.5790692795943055,0.8669083631259306,Curuai_03_2016_Ponto_13,LabISA-INPE,0.18839133
Curuai_2016_03,LabISA-INPE,83,14,AMZ,Curuai,-2.24187,-55.2438,2016-03-16,14.945,131.5,0.12,1.18988,0.0307528909753735,0.0481020685559642,0.0568957312881396,0.0311149235696915,1.5641478583097663,0.8454424869303242,Curuai_03_2016_Ponto_14,LabISA-INPE,0.15056044
Curuai_2016_03,LabISA-INPE,84,14,AMZ,Curuai,-2.21632,-55.2121,2016-03-16,6.28,94.0,0.18,1.17453,0.035765647553717,0.0596529383950651,0.0702244798734755,0.0316406139305388,1.6678836390553644,0.8494607365201237,Curuai_03_2016_Ponto_15,LabISA-INPE,0.17340755
Curuai_2016_03,LabISA-INPE,85,14,AMZ,Curuai,-2.26257,-55.1258,2016-03-17,0.665,235.5,0.1,1.43497,0.0339253508548152,0.0587857977442199,0.0731500298130994,0.0480528142680839,1.73279851977938,0.8036332711609201,Curuai_03_2016_Ponto_16n,LabISA-INPE,0.13778058
Curuai_2016_03,LabISA-INPE,86,14,AMZ,Curuai,-2.21864,-55.2783,2016-03-16,3.87,102.5,0.15,1.37029,0.0311154535486876,0.0500633308299727,0.0593242196432124,0.0309442887369071,1.608953915829528,0.8438936260951004,Curuai_03_2016_Ponto_17,LabISA-INPE,0.17003074
Curuai_2012_10,LabISA-INPE,498,44,AMZ,Curuai,-2.145352461,-55.70387846,2012-10-01,35.87,94.27,0.1,,0.0192083237804893,0.0312641125258997,0.0382033537476275,0.0337371097107195,1.6276335656969698,0.818360417580911,Curuai_09_2012_Ponto_01,LabISA-INPE,0.11149557
Curuai_2012_10,LabISA-INPE,499,44,AMZ,Curuai,-2.137484411,-55.68580368,2012-10-01,52.54,104.54,0.12,,0.02046044026799,0.033348852487248,0.0402167355707035,0.0340927298897329,1.6299186161414958,0.8292282308348637,Curuai_09_2012_Ponto_02,LabISA-INPE,0.12344669
Curuai_2012_10,LabISA-INPE,500,44,AMZ,Curuai,-2.153757275,-55.68636065,2012-10-01,92.06,161.85,0.12,,0.0188560714690048,0.0313621565475439,0.0359032369835662,0.0352763033612765,1.6632391640589788,0.8735189131247173,Curuai_09_2012_Ponto_03,LabISA-INPE,0.32252285
Curuai_2012_10,LabISA-INPE,501,44,AMZ,Curuai,-2.147614292,-55.66676481,2012-10-01,77.35,136.6,0.1,,0.0193297506063925,0.0314077429803483,0.0379134654505662,0.0326319308756215,1.62483953465812,0.8284060189986999,Curuai_09_2012_Ponto_04,LabISA-INPE,0.120673716
Curuai_2012_10,LabISA-INPE,502,44,AMZ,Curuai,-2.131140431,-55.65555191,2012-10-01,35.01,90.45,0.12,,0.021079168716877,0.035222086808165,0.0432000191884737,0.032315295033416,1.6709428764126024,0.8153257213728897,Curuai_09_2012_Ponto_05,LabISA-INPE,0.14846937
Curuai_2012_10,LabISA-INPE,503,44,AMZ,Curuai,-2.143945294,-55.63099301,2012-10-01,17.85,125.5,0.12,,0.0223761474592286,0.0349707929323068,0.0425209498961265,0.0331711863024906,1.5628603179357308,0.8224367757008295,Curuai_09_2012_Ponto_06,LabISA-INPE,0.075330034
Curuai_2012_10,LabISA-INPE,504,44,AMZ,Curuai,-2.109880528,-55.64472399,2012-10-01,12.74,91.97,0.12,,0.0205255766737694,0.034389800404121,0.0432722704523892,0.0315938622224867,1.6754608628399386,0.7947306680373697,Curuai_09_2012_Ponto_07,LabISA-INPE,0.12141588
Curuai_2012_10,LabISA-INPE,505,44,AMZ,Curuai,-2.120192461,-55.61617114,2012-10-02,15.06,56.57,0.15,,0.0202035967504166,0.0338443970363258,0.0416567365139251,0.0264442283900701,1.6751669247025496,0.8124591571164541,Curuai_09_2012_Ponto_08,LabISA-INPE,0.15087013
Curuai_2012_10,LabISA-INPE,506,44,AMZ,Curuai,-2.152229228,-55.57662339,2012-10-02,31.91,88.38,0.11,,0.0241192472370841,0.0374618206657907,0.044993204466815,0.0324699645458342,1.5531919507086431,0.8326106377557724,Curuai_09_2012_Ponto_14,LabISA-INPE,0.08128844
Curuai_2012_10,LabISA-INPE,507,44,AMZ,Curuai,-2.146699292,-55.54903655,2012-10-02,20.04,84.75,0.11,,0.0249511389958485,0.036754151729904,0.0429953726837853,0.0322559317063946,1.4730450476036123,0.8548397056636042,Curuai_09_2012_Ponto_15,LabISA-INPE,0.080211386
Curuai_2012_10,LabISA-INPE,508,44,AMZ,Curuai,-2.131150372,-55.55,2012-10-02,32.16,89.61,0.16,,0.021010588689453,0.0336447400728141,0.039895658314455,0.0285549193548913,1.601323055250863,0.8433183332288551,Curuai_09_2012_Ponto_16,LabISA-INPE,0.11528477
Curuai_2012_10,LabISA-INPE,509,44,AMZ,Curuai,-2.13041335,-55.53501766,2012-10-02,24.87,77.89,0.14,,0.020548753935242,0.0337306358080407,0.0398543098315561,0.0239419957826932,1.6414930031446433,0.8463485116315637,Curuai_09_2012_Ponto_17,LabISA-INPE,0.1712681
Curuai_2012_10,LabISA-INPE,510,44,AMZ,Curuai,-2.115581497,-55.53907565,2012-10-02,25.44,72.62,0.15,,0.021228940303479,0.0355811655811099,0.0417611230547887,0.0237105839877168,1.6760688509392463,0.8520164923349649,Curuai_09_2012_Ponto_18,LabISA-INPE,0.25611398
Curuai_2012_10,LabISA-INPE,511,44,AMZ,Curuai,-2.115027253,-55.41880509,2012-10-03,52.75,91.929,0.13,,0.0227942466409142,0.0343309123435179,0.0400339155928013,0.029038980183861,1.5061218247018582,0.8575457043150462,Curuai_09_2012_Ponto_19,LabISA-INPE,0.085363135
Curuai_2012_10,LabISA-INPE,512,44,AMZ,Curuai,-2.140054872,-55.40780517,2012-10-03,68.88,99.464,0.12,,0.0253790065016368,0.0413415157011064,0.0407219611547513,0.0414539410000953,1.6289650935878874,1.0152142610224657,Curuai_09_2012_Ponto_20,LabISA-INPE,0.24779099
Curuai_2012_10,LabISA-INPE,513,44,AMZ,Curuai,-2.105916186,-55.44330499,2012-10-03,39.58,60.1,0.12,,0.0236194863182549,0.0363992968864649,0.0423433692658885,0.0301500298332814,1.541070639556323,0.8596221207127205,Curuai_09_2012_Ponto_21,LabISA-INPE,0.10843772
Curuai_2012_10,LabISA-INPE,514,44,AMZ,Curuai,-2.13,-55.38702757,2012-10-03,33.6,54.021,0.12,,0.0323195585735522,0.0470436889659162,0.0551335827225519,0.0437423348892798,1.455579563651995,0.8532674033293577,Curuai_09_2012_Ponto_22,LabISA-INPE,0.09110466
Curuai_2012_10,LabISA-INPE,515,44,AMZ,Curuai,-2.099805133,-55.40197191,2012-10-03,57.11,100.743,0.12,,0.0195539273926998,0.0328051208384633,0.0381599745307271,0.0299582947407756,1.6776742686847994,0.8596735517223164,Curuai_09_2012_Ponto_23,LabISA-INPE,0.3087176
Curuai_2012_10,LabISA-INPE,516,44,AMZ,Curuai,-2.269303522,-55.38446964,2012-10-03,48.11,47.6,0.2,,0.0148816315245224,0.024735493311545,0.0264222544305846,0.0149546779421187,1.6621492926219217,0.9361613474932284,Curuai_09_2012_Ponto_25,LabISA-INPE,0.3984543
Curuai_2012_10,LabISA-INPE,517,44,AMZ,Curuai,-2.25550455,-55.34850883,2012-10-03,60.04,40.2,0.2,,0.0162704272204482,0.0269972434164389,0.028496549064732,0.0170219640034568,1.659283007794015,0.947386413530729,Curuai_09_2012_Ponto_26,LabISA-INPE,0.34569615
BaixoAmazonas_2013_03,LabISA-INPE,714,46,AMZ,BaixoAmazonas,-2.230316,-55.493935,2013-03-10,2.98,30.4,0.5,,0.0284299166128058,0.0461319985897627,0.0510709856755085,0.0145256746418598,1.622656837796819,0.9032917218961306,FAB_03_2013_FABI11,LabISA-INPE,0.21883011
BaixoAmazonas_2013_03,LabISA-INPE,715,46,AMZ,BaixoAmazonas,-2.262023,-55.456187,2013-03-11,1.91,39.2,0.42,,0.0482872094640944,0.0680278340463854,0.0737304507454945,0.0357013339895848,1.4088168440748232,0.9226558817768036,FAB_03_2013_FABI13,LabISA-INPE,0.17661086
BaixoAmazonas_2013_03,LabISA-INPE,716,46,AMZ,BaixoAmazonas,-2.262023,-55.456187,2013-03-11,1.89,37.2,0.42,,0.0482872094640944,0.0680278340463854,0.0737304507454945,0.0357013339895848,1.4088168440748232,0.9226558817768036,FAB_03_2013_FABI13,LabISA-INPE,0.17661086
BaixoAmazonas_2013_03,LabISA-INPE,717,46,AMZ,BaixoAmazonas,-2.262023,-55.456187,2013-03-11,2.01,45.2,0.42,,0.0482872094640944,0.0680278340463854,0.0737304507454945,0.0357013339895848,1.4088168440748232,0.9226558817768036,FAB_03_2013_FABI13,LabISA-INPE,0.17661086
BaixoAmazonas_2013_03,LabISA-INPE,718,46,AMZ,BaixoAmazonas,-2.262023,-55.456187,2013-03-11,1.98,37.2,0.42,,0.0482872094640944,0.0680278340463854,0.0737304507454945,0.0357013339895848,1.4088168440748232,0.9226558817768036,FAB_03_2013_FABI13,LabISA-INPE,0.17661086
BaixoAmazonas_2013_03,LabISA-INPE,719,46,AMZ,BaixoAmazonas,-2.068958,-55.486229,2013-03-11,3.93,39.6,0.38,,0.028250166944051,0.0471222637104592,0.0548074549111422,0.0184883621871017,1.6680348758215866,0.8597783602040492,FAB_03_2013_FABI16,LabISA-INPE,0.19955634
BaixoAmazonas_2013_03,LabISA-INPE,720,46,AMZ,BaixoAmazonas,-2.078954,-55.526776,2013-03-11,4.47,36.8,0.39,,0.0340617487596274,0.0529738188389982,0.0579454684540089,0.0205867731403712,1.5552289817188378,0.9142012352707672,FAB_03_2013_FABI18,LabISA-INPE,0.19559857
BaixoAmazonas_2013_03,LabISA-INPE,721,46,AMZ,BaixoAmazonas,-2.095675,-55.488855,2013-03-11,3.52,36.8,0.44,,0.03415083372271,0.0531214425564129,0.0551321110814524,0.0168725265511987,1.55549474978374,0.9635299921298328,FAB_03_2013_FABI19,LabISA-INPE,0.19905832
BaixoAmazonas_2013_03,LabISA-INPE,722,46,AMZ,BaixoAmazonas,-2.151079,-55.565754,2013-03-12,2.24,41.2,0.44,,0.0423354904135766,0.0655665934575359,0.0731164386257105,0.0286435647094298,1.5487382528704403,0.8967421648253011,FAB_03_2013_FABI20,LabISA-INPE,0.18728796
BaixoAmazonas_2013_03,LabISA-INPE,723,46,AMZ,BaixoAmazonas,-2.173808,-55.59809,2013-03-12,2.66,48.4,0.39,,0.0348295027838522,0.051626145554915,0.0550515236037943,0.0235249932698964,1.4822533033359906,0.9377786875885264,FAB_03_2013_FABI21,LabISA-INPE,0.18039833
BaixoAmazonas_2013_03,LabISA-INPE,724,46,AMZ,BaixoAmazonas,-2.173808,-55.59809,2013-03-12,2.63,45.2,0.39,,0.0348295027838522,0.051626145554915,0.0550515236037943,0.0235249932698964,1.4822533033359906,0.9377786875885264,FAB_03_2013_FABI21,LabISA-INPE,0.18039833
BaixoAmazonas_2013_03,LabISA-INPE,725,46,AMZ,BaixoAmazonas,-2.173808,-55.59809,2013-03-12,2.59,44.8,0.39,,0.0348295027838522,0.051626145554915,0.0550515236037943,0.0235249932698964,1.4822533033359906,0.9377786875885264,FAB_03_2013_FABI21,LabISA-INPE,0.18039833
BaixoAmazonas_2013_03,LabISA-INPE,726,46,AMZ,BaixoAmazonas,-2.173808,-55.59809,2013-03-12,2.79,43.6,0.39,,0.0348295027838522,0.051626145554915,0.0550515236037943,0.0235249932698964,1.4822533033359906,0.9377786875885264,FAB_03_2013_FABI21,LabISA-INPE,0.18039833
BaixoAmazonas_2013_03,LabISA-INPE,727,46,AMZ,BaixoAmazonas,-2.142593,-55.625756,2013-03-12,3.36,37.6,0.46,,0.03389631386663,0.0516466802016346,0.0546293840216495,0.0189050563998416,1.5236665675461352,0.945401108333331,FAB_03_2013_FABI22,LabISA-INPE,0.19184655
BaixoAmazonas_2013_03,LabISA-INPE,728,46,AMZ,BaixoAmazonas,-2.112532,-55.621423,2013-03-12,3.1,46.4,0.38,,0.0340804622786888,0.0510461110637252,0.0547276392146974,0.0196098759628787,1.497811580321355,0.932730002539859,FAB_03_2013_FABI24,LabISA-INPE,0.18535146
BaixoAmazonas_2013_03,LabISA-INPE,729,46,AMZ,BaixoAmazonas,-2.112532,-55.621423,2013-03-12,3.35,47.6,0.38,,0.0340804622786888,0.0510461110637252,0.0547276392146974,0.0196098759628787,1.497811580321355,0.932730002539859,FAB_03_2013_FABI24,LabISA-INPE,0.18535146
BaixoAmazonas_2013_03,LabISA-INPE,730,46,AMZ,BaixoAmazonas,-2.112532,-55.621423,2013-03-12,2.09,47.2,0.38,,0.0340804622786888,0.0510461110637252,0.0547276392146974,0.0196098759628787,1.497811580321355,0.932730002539859,FAB_03_2013_FABI24,LabISA-INPE,0.18535146
BaixoAmazonas_2013_03,LabISA-INPE,731,46,AMZ,BaixoAmazonas,-2.112532,-55.621423,2013-03-12,2.0,46.0,0.38,,0.0340804622786888,0.0510461110637252,0.0547276392146974,0.0196098759628787,1.497811580321355,0.932730002539859,FAB_03_2013_FABI24,LabISA-INPE,0.18535146
BaixoAmazonas_2013_03,LabISA-INPE,732,46,AMZ,BaixoAmazonas,-2.11619,-55.69398,2013-03-13,2.18,,0.41,,0.037267354529284,0.0545921596937985,0.0579283195132918,0.0202292152104354,1.464878856665315,0.9424088278837812,FAB_03_2013_FABI26,LabISA-INPE,0.17070901
BaixoAmazonas_2013_03,LabISA-INPE,733,46,AMZ,BaixoAmazonas,-2.150581,-55.714166,2013-03-13,2.7,49.2,0.46,,0.0184196830193441,0.0317758041997064,0.0359571596159105,0.0127154239863566,1.72510048985837,0.8837128554961302,FAB_03_2013_FABI27,LabISA-INPE,0.33709925
BaixoAmazonas_2013_03,LabISA-INPE,734,46,AMZ,BaixoAmazonas,-2.152492,-55.676202,2013-03-13,2.66,48.4,0.5,,0.030007259135736,0.0443937429981826,0.0492583130376301,0.0209917010704461,1.4794334529978304,0.9012436736164454,FAB_03_2013_FABI28,LabISA-INPE,0.16303915
BaixoAmazonas_2013_03,LabISA-INPE,735,46,AMZ,BaixoAmazonas,-2.131452,-55.657457,2013-03-13,3.09,46.4,0.44,,0.0306070693593387,0.0471465451072089,0.0518207985230268,0.0181840866599408,1.540380901996543,0.9097996644389632,FAB_03_2013_FABI29,LabISA-INPE,0.19023263
BaixoAmazonas_2013_03,LabISA-INPE,736,46,AMZ,BaixoAmazonas,-2.19696,-55.29953,2013-03-09,2.77,34.4,0.38,,0.0220381994679037,0.0408861020321399,0.0467229175436765,0.0125354484647848,1.8552378605922943,0.8750759623244769,FAB_03_2013_FABI3,LabISA-INPE,0.28887117
BaixoAmazonas_2013_03,LabISA-INPE,737,46,AMZ,BaixoAmazonas,-2.201618,-55.792751,2013-03-15,3.37,27.6,0.54,,0.0403256857548955,0.0614210572482663,0.0713045698251123,0.0378132981878646,1.5231249288999342,0.8613901941896971,FAB_03_2013_FABI32,LabISA-INPE,0.14594188
BaixoAmazonas_2013_03,LabISA-INPE,738,46,AMZ,BaixoAmazonas,-2.177378,-55.806321,2013-03-15,3.74,23.2,0.52,,0.0217732336495893,0.0373214918453021,0.0411603827858575,0.0214370898067965,1.7140996347139317,0.9067333518124028,FAB_03_2013_FABI33,LabISA-INPE,0.2904085
BaixoAmazonas_2013_03,LabISA-INPE,739,46,AMZ,BaixoAmazonas,-2.177378,-55.806321,2013-03-15,3.87,18.0,0.52,,0.0217732336495893,0.0373214918453021,0.0411603827858575,0.0214370898067965,1.7140996347139317,0.9067333518124028,FAB_03_2013_FABI33,LabISA-INPE,0.2904085
BaixoAmazonas_2013_03,LabISA-INPE,740,46,AMZ,BaixoAmazonas,-2.177378,-55.806321,2013-03-15,4.02,20.0,0.52,,0.0217732336495893,0.0373214918453021,0.0411603827858575,0.0214370898067965,1.7140996347139317,0.9067333518124028,FAB_03_2013_FABI33,LabISA-INPE,0.2904085
BaixoAmazonas_2013_03,LabISA-INPE,741,46,AMZ,BaixoAmazonas,-2.177378,-55.806321,2013-03-15,4.16,19.6,0.52,,0.0217732336495893,0.0373214918453021,0.0411603827858575,0.0214370898067965,1.7140996347139317,0.9067333518124028,FAB_03_2013_FABI33,LabISA-INPE,0.2904085
BaixoAmazonas_2013_03,LabISA-INPE,742,46,AMZ,BaixoAmazonas,-2.178437,-55.633239,2013-03-15,2.54,49.2,0.38,,0.036940297089831,0.0557607562298934,0.0618724476898943,0.0266069269847346,1.509483155868915,0.901221113949899,FAB_03_2013_FABI36,LabISA-INPE,0.17429738
BaixoAmazonas_2013_03,LabISA-INPE,743,46,AMZ,BaixoAmazonas,-2.255185,-55.376673,2013-03-16,2.2,37.6,0.4,,0.0242885289557616,0.0457493075692415,0.0525238826845669,0.013999471444893,1.8835767144468865,0.8710191484508061,FAB_03_2013_FABI38,LabISA-INPE,0.25593334
BaixoAmazonas_2013_03,LabISA-INPE,744,46,AMZ,BaixoAmazonas,-2.255185,-55.376673,2013-03-16,2.2,34.8,0.4,,0.0242885289557616,0.0457493075692415,0.0525238826845669,0.013999471444893,1.8835767144468865,0.8710191484508061,FAB_03_2013_FABI38,LabISA-INPE,0.25593334
BaixoAmazonas_2013_03,LabISA-INPE,745,46,AMZ,BaixoAmazonas,-2.255185,-55.376673,2013-03-16,2.59,30.4,0.4,,0.0242885289557616,0.0457493075692415,0.0525238826845669,0.013999471444893,1.8835767144468865,0.8710191484508061,FAB_03_2013_FABI38,LabISA-INPE,0.25593334
BaixoAmazonas_2013_03,LabISA-INPE,746,46,AMZ,BaixoAmazonas,-2.255185,-55.376673,2013-03-16,2.81,33.2,0.4,,0.0242885289557616,0.0457493075692415,0.0525238826845669,0.013999471444893,1.8835767144468865,0.8710191484508061,FAB_03_2013_FABI38,LabISA-INPE,0.25593334
BaixoAmazonas_2013_03,LabISA-INPE,747,46,AMZ,BaixoAmazonas,-2.176642,-55.372401,2013-03-16,2.55,38.4,0.44,,0.0235776692153592,0.0377967928036071,0.0427671372918639,0.0139713362564195,1.6030758790603925,0.8837812207458093,FAB_03_2013_FABI39,LabISA-INPE,0.2240228
BaixoAmazonas_2013_03,LabISA-INPE,748,46,AMZ,BaixoAmazonas,-2.221738,-55.270194,2013-03-09,2.99,43.6,0.34,,0.0357884414688858,0.0616883890060318,0.0710740496491547,0.0277246731227218,1.7236958770519029,0.8679453233711367,FAB_03_2013_FABI4,LabISA-INPE,0.20257777
BaixoAmazonas_2013_03,LabISA-INPE,749,46,AMZ,BaixoAmazonas,-2.221738,-55.270194,2013-03-09,3.52,44.4,0.34,,0.0357884414688858,0.0616883890060318,0.0710740496491547,0.0277246731227218,1.7236958770519029,0.8679453233711367,FAB_03_2013_FABI4,LabISA-INPE,0.20257777
BaixoAmazonas_2013_03,LabISA-INPE,750,46,AMZ,BaixoAmazonas,-2.221738,-55.270194,2013-03-09,3.51,47.2,0.34,,0.0357884414688858,0.0616883890060318,0.0710740496491547,0.0277246731227218,1.7236958770519029,0.8679453233711367,FAB_03_2013_FABI4,LabISA-INPE,0.20257777
BaixoAmazonas_2013_03,LabISA-INPE,751,46,AMZ,BaixoAmazonas,-2.221738,-55.270194,2013-03-09,2.99,44.8,0.34,,0.0357884414688858,0.0616883890060318,0.0710740496491547,0.0277246731227218,1.7236958770519029,0.8679453233711367,FAB_03_2013_FABI4,LabISA-INPE,0.20257777
BaixoAmazonas_2013_03,LabISA-INPE,752,46,AMZ,BaixoAmazonas,-2.135114,-55.370602,2013-03-16,2.57,34.8,0.45,,0.0214940526219421,0.0346368634317925,0.0384982339962507,0.0113712412622182,1.6114626702101595,0.8997000598823766,FAB_03_2013_FABI40,LabISA-INPE,0.28210428
BaixoAmazonas_2013_03,LabISA-INPE,753,46,AMZ,BaixoAmazonas,-2.25002,-55.54794,2013-03-10,2.85,22.0,0.54,,0.0280983862907714,0.0408006472162503,0.044197328312447,0.019082341998026,1.4520637161875312,0.923147366008544,FAB_03_2013_FABI7,LabISA-INPE,0.16578673
BaixoAmazonas_2013_03,LabISA-INPE,754,46,AMZ,BaixoAmazonas,-2.24143,-55.58458,2013-03-10,3.32,22.0,0.5,,0.0273577288694869,0.0412904661515963,0.0441442864164671,0.0163623491979741,1.5092797486435032,0.9353524431690384,FAB_03_2013_FABI8,LabISA-INPE,0.20874389
